Feature,Label,Precision,Recall,F1-Score,Support
lag1_freq_193_1,1.0,0.57,0.33,0.41,89
lag1_freq_193_1,2.0,0.61,0.86,0.71,76
lag1_freq_193_1,Average,0.5733333333333333,,,
lag1_freq_213_1,0.0,0.52,0.46,0.49,83
lag1_freq_213_1,1.0,0.35,0.58,0.44,89
lag1_freq_213_1,2.0,0.72,0.24,0.36,76
lag1_freq_213_1,Average,0.5299999999999999,,,
lag1_freq_223_1,0.0,0.49,0.39,0.43,83
lag1_freq_223_1,1.0,0.32,0.55,0.4,89
lag1_freq_223_1,2.0,0.5,0.18,0.27,76
lag1_freq_223_1,Average,0.4366666666666667,,,
lag1_freq_233_1,0.0,0.52,0.61,0.56,83
lag1_freq_233_1,1.0,0.49,0.44,0.46,89
lag1_freq_233_1,2.0,0.77,0.72,0.75,76
lag1_freq_233_1,Average,0.5933333333333334,,,
lag1_freq_243_1,0.0,0.47,0.51,0.49,83
lag1_freq_243_1,1.0,0.45,0.35,0.39,89
lag1_freq_243_1,2.0,0.61,0.71,0.65,76
lag1_freq_243_1,Average,0.5099999999999999,,,
lag1_freq_253_1,0.0,0.47,0.43,0.45,83
lag1_freq_253_1,1.0,0.45,0.6,0.51,89
lag1_freq_253_1,2.0,0.85,0.62,0.72,76
lag1_freq_253_1,Average,0.59,,,
lag1_freq_264_1,0.0,0.52,0.48,0.5,83
lag1_freq_264_1,1.0,0.47,0.52,0.49,89
lag1_freq_264_1,2.0,0.69,0.67,0.68,76
lag1_freq_264_1,Average,0.5599999999999999,,,
lag1_freq_274_1,0.0,0.5,0.41,0.45,83
lag1_freq_274_1,1.0,0.5,0.61,0.55,89
lag1_freq_274_1,2.0,0.74,0.7,0.72,76
lag1_freq_274_1,Average,0.58,,,
lag1_freq_284_1,0.0,0.59,0.46,0.52,83
lag1_freq_284_1,1.0,0.4,0.62,0.48,89
lag1_freq_284_1,2.0,0.56,0.33,0.41,76
lag1_freq_284_1,Average,0.5166666666666667,,,
lag1_freq_294_1,0.0,0.54,0.31,0.4,83
lag1_freq_294_1,1.0,0.38,0.74,0.5,89
lag1_freq_294_1,2.0,0.67,0.21,0.32,76
lag1_freq_294_1,Average,0.53,,,
lag1_freq_314_1,0.0,0.43,0.29,0.35,83
lag1_freq_314_1,1.0,0.43,0.58,0.5,89
lag1_freq_314_1,2.0,0.79,0.75,0.77,76
lag1_freq_314_1,Average,0.5499999999999999,,,
lag1_freq_324_1,0.0,0.46,0.33,0.38,83
lag1_freq_324_1,1.0,0.42,0.6,0.49,89
lag1_freq_324_1,2.0,0.68,0.55,0.61,76
lag1_freq_324_1,Average,0.52,,,
lag1_freq_334_1,0.0,0.54,0.34,0.41,83
lag1_freq_334_1,1.0,0.37,0.72,0.49,89
lag1_freq_334_1,2.0,0.65,0.2,0.3,76
lag1_freq_334_1,Average,0.52,,,
lag1_freq_355_1,0.0,0.43,0.28,0.34,83
lag1_freq_355_1,1.0,0.36,0.7,0.47,89
lag1_freq_355_1,2.0,0.55,0.16,0.24,76
lag1_freq_355_1,Average,0.4466666666666667,,,
lag1_freq_385_1,0.0,0.6,0.37,0.46,83
lag1_freq_385_1,1.0,0.42,0.78,0.54,89
lag1_freq_385_1,2.0,0.74,0.3,0.43,76
lag1_freq_385_1,Average,0.5866666666666667,,,
lag1_freq_436_1,0.0,0.55,0.39,0.45,83
lag1_freq_436_1,1.0,0.36,0.66,0.47,89
lag1_freq_436_1,2.0,0.67,0.24,0.35,76
lag1_freq_436_1,Average,0.5266666666666667,,,
lag1_freq_446_1,0.0,0.52,0.3,0.38,83
lag1_freq_446_1,1.0,0.37,0.73,0.49,89
lag1_freq_446_1,2.0,0.62,0.21,0.31,76
lag1_freq_446_1,Average,0.5033333333333333,,,
lag1_freq_456_1,0.0,0.56,0.36,0.44,83
lag1_freq_456_1,1.0,0.48,0.69,0.56,89
lag1_freq_456_1,2.0,0.75,0.66,0.7,76
lag1_freq_456_1,Average,0.5966666666666667,,,
lag1_freq_466_1,0.0,0.48,0.43,0.46,83
lag1_freq_466_1,1.0,0.47,0.62,0.53,89
lag1_freq_466_1,2.0,0.76,0.55,0.64,76
lag1_freq_466_1,Average,0.57,,,
lag1_freq_486_1,0.0,0.48,0.58,0.53,83
lag1_freq_486_1,1.0,0.33,0.45,0.38,89
lag1_freq_486_1,2.0,0.5,0.17,0.25,76
lag1_freq_486_1,Average,0.4366666666666667,,,
lag1_freq_578_1,0.0,0.54,0.57,0.55,83
lag1_freq_578_1,1.0,0.34,0.52,0.41,89
lag1_freq_578_1,2.0,0.56,0.2,0.29,76
lag1_freq_578_1,Average,0.48000000000000004,,,
lag1_freq_608_1,0.0,0.47,0.64,0.54,83
lag1_freq_608_1,1.0,0.27,0.29,0.28,89
lag1_freq_608_1,2.0,0.56,0.29,0.38,76
lag1_freq_608_1,Average,0.43333333333333335,,,
lag1_freq_699_1,0.0,0.45,0.71,0.55,83
lag1_freq_699_1,1.0,0.18,0.18,0.18,89
lag1_freq_699_1,2.0,0.47,0.18,0.26,76
lag1_freq_699_1,Average,0.3666666666666667,,,
lag1_freq_081_2,0.0,0.15,0.02,0.04,83
lag1_freq_081_2,1.0,0.46,0.46,0.46,89
lag1_freq_081_2,2.0,0.47,0.91,0.62,76
lag1_freq_081_2,Average,0.36000000000000004,,,
lag1_freq_649_2,0.0,0.46,0.87,0.6,83
lag1_freq_649_2,1.0,0.39,0.17,0.24,89
lag1_freq_649_2,2.0,0.77,0.53,0.62,76
lag1_freq_649_2,Average,0.54,,,
lag1_freq_020_3,0.0,0.48,0.45,0.46,83
lag1_freq_020_3,1.0,0.69,0.43,0.53,89
lag1_freq_020_3,2.0,0.55,0.84,0.67,76
lag1_freq_020_3,Average,0.5733333333333334,,,
lag1_freq_030_3,0.0,0.54,0.59,0.56,83
lag1_freq_030_3,1.0,0.67,0.4,0.5,89
lag1_freq_030_3,2.0,0.63,0.86,0.73,76
lag1_freq_030_3,Average,0.6133333333333333,,,
lag1_freq_041_3,0.0,0.62,0.61,0.62,83
lag1_freq_041_3,1.0,0.72,0.47,0.57,89
lag1_freq_041_3,2.0,0.57,0.82,0.67,76
lag1_freq_041_3,Average,0.6366666666666666,,,
lag1_freq_051_3,0.0,0.49,0.45,0.47,83
